≈≈–Ú∫Û
number  name  math  English  Chinese  average  
101     a     89    95       92       92.00    
102     b     96    87       78       87.00    
103     c     70    98       93       87.00    
105     e     93    90       78       87.00    
109     i     92    79       87       86.00    
110     j     91    82       80       84.33    
106     f     80    90       78       82.67    
107     g     88    75       83       82.00    
108     h     81    91       73       81.67    
104     d     79    86       78       81.00    
